cluster index	CF_componentindex	CF_NrNodes	CF_kingdom	CF_kingdom_score	CF_superclass	CF_superclass_score	CF_class	CF_class_score	CF_subclass	CF_subclass_score	CF_Dparent	CF_Dparent_score	CF_MFramework	CF_MFramework_score
8578	S1028	1	Organic compounds	1.0	Organic acids and derivatives	1.0	Peptidomimetics	1.0	Depsipeptides	1.0	Cyclic depsipeptides	1.0	Aromatic heteropolycyclic compounds	1.0
8580	S1029	1	no matches		no matches		no matches		no matches		no matches		no matches	
8583	S1030	1	no matches		no matches		no matches		no matches		no matches		no matches	
8593	S1031	1	no matches		no matches		no matches		no matches		no matches		no matches	
8594	S1032	1	no matches		no matches		no matches		no matches		no matches		no matches	
8595	S1033	1	no matches		no matches		no matches		no matches		no matches		no matches	
8596	S1034	1	no matches		no matches		no matches		no matches		no matches		no matches	
8611	S1035	1	no matches		no matches		no matches		no matches		no matches		no matches	
8618	S1036	1	no matches		no matches		no matches		no matches		no matches		no matches	
8628	S1037	1	no matches		no matches		no matches		no matches		no matches		no matches	
8629	S1038	1	Organic compounds	1.0	Organic acids and derivatives	1.0	Peptidomimetics	1.0	Hybrid peptides	1.0	Hybrid peptides	1.0	Aromatic heteromonocyclic compounds	1.0
8630	S1039	1	no matches		no matches		no matches		no matches		no matches		no matches	
8637	S1040	1	no matches		no matches		no matches		no matches		no matches		no matches	
8638	S1041	1	Organic compounds	1.0	Organic acids and derivatives	1.0	Peptidomimetics	1.0	Depsipeptides	1.0	Cyclic depsipeptides	1.0	Aromatic heteropolycyclic compounds	1.0
8639	S1042	1	no matches		no matches		no matches		no matches		no matches		no matches	
8647	S1043	1	no matches		no matches		no matches		no matches		no matches		no matches	
8653	S1044	1	no matches		no matches		no matches		no matches		no matches		no matches	
8660	S1045	1	Organic compounds	1.0	Organic acids and derivatives	1.0	Carboxylic acids and derivatives	1.0	Amino acids, peptides, and analogues	1.0	Oligopeptides	1.0	Aromatic heteropolycyclic compounds	1.0
8666	S1046	1	no matches		no matches		no matches		no matches		no matches		no matches	
